Date,Heure,Post ID,Légende,Likes,Commentaires,Hashtags
2024-10-01,21:00,POST001,Découvrez notre nouveau produit : Crème visage naturel,664,39,"#modeafricaine, #lifestyle, #local, #soin, #waxstyle"
2024-10-02,15:00,POST002,Découvrez notre nouveau produit : Robe wax,997,69,"#lifestyle, #local, #bio, #madeinafrica"
2024-10-03,8:00,POST003,Découvrez notre nouveau produit : Collier perles,439,51,"#local, #senegal, #tendance"
2024-10-04,9:00,POST004,Découvrez notre nouveau produit : Sac en raphia,191,7,"#senegal, #cotedivoire, #soin"
2024-10-05,10:30,POST005,Découvrez notre nouveau produit : Sac en raphia,466,5,"#beauté, #greenbeauty, #cotedivoire, #senegal"
2024-10-06,15:30,POST006,Découvrez notre nouveau produit : Collier perles,554,9,"#local, #bio, #soin, #madeinafrica, #modeafricaine, #cotedivoire"
2024-10-07,11:30,POST007,Découvrez notre nouveau produit : Savon noir,527,18,"#bio, #lifestyle, #beauté, #promotion"
2024-10-08,22:00,POST008,Découvrez notre nouveau produit : Huile de karité,608,31,"#madeinafrica, #promotion, #local, #modeafricaine, #senegal, #bio"
2024-10-09,10:30,POST009,Découvrez notre nouveau produit : Sac en raphia,875,13,"#soin, #promotion, #lifestyle, #tendance, #benin, #senegal"
2024-10-10,8:30,POST010,Découvrez notre nouveau produit : Sac en raphia,134,19,"#greenbeauty, #promotion, #senegal, #bio, #beauté, #tendance"
2024-10-11,12:30,POST011,Découvrez notre nouveau produit : Robe wax,305,46,"#lifestyle, #local, #soin, #waxstyle, #promotion"
2024-10-12,12:30,POST012,Découvrez notre nouveau produit : Sac en raphia,180,55,"#soin, #local, #waxstyle, #senegal, #modeafricaine, #beauté"
2024-10-13,19:30,POST013,Découvrez notre nouveau produit : Crème visage naturel,661,67,"#waxstyle, #benin, #lifestyle, #promotion"
2024-10-14,10:00,POST014,Découvrez notre nouveau produit : Savon noir,971,56,"#bio, #greenbeauty, #local"
2024-10-15,12:00,POST015,Découvrez notre nouveau produit : Huile de karité,487,8,"#beauté, #bio, #greenbeauty, #local, #modeafricaine, #cotedivoire"
2024-10-16,8:00,POST016,Découvrez notre nouveau produit : Sandales cuir,101,27,"#benin, #promotion, #senegal, #cotedivoire, #madeinafrica, #local"
